<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,D,20061020,000000,652.0000000,834.9300000,652.0000000,834.9300000,18
AKRN,D,20061023,000000,834.9300000,834.9300000,834.9300000,834.9300000,10
AKRN,D,20061024,000000,834.9300000,1160.0000000,750.0000000,801.0000000,1027
AKRN,D,20061025,000000,810.0000000,950.0000000,700.0000000,765.0000000,2503
AKRN,D,20061026,000000,790.0000000,790.0000000,720.0000000,735.0000000,1333
AKRN,D,20061027,000000,755.0000000,776.0000000,721.0000000,750.0000000,2439
AKRN,D,20061030,000000,775.0000000,784.0000000,711.1000000,711.1000000,392
AKRN,D,20061031,000000,747.0000000,762.0000000,732.0000000,748.0000000,176
AKRN,D,20061101,000000,750.0000000,750.0000000,721.0000000,730.0000000,1204
AKRN,D,20061102,000000,732.9000000,733.0000000,723.0100000,723.0100000,94
AKRN,D,20061103,000000,734.9900000,739.9000000,715.0000000,734.9900000,467
AKRN,D,20061107,000000,733.0000000,744.3500000,722.0200000,744.0000000,493
AKRN,D,20061108,000000,735.0000000,735.0000000,709.9900000,719.0000000,3431
AKRN,D,20061109,000000,710.1000000,727.0000000,710.1000000,726.0000000,1754
AKRN,D,20061110,000000,729.0000000,731.8900000,719.0000000,720.0000000,2162
AKRN,D,20061113,000000,729.0000000,730.2000000,720.2500000,720.2500000,2567
AKRN,D,20061114,000000,726.8000000,734.9900000,722.5000000,725.0000000,7046
AKRN,D,20061115,000000,730.0000000,730.0000000,719.0000000,725.0000000,694
AKRN,D,20061116,000000,722.0000000,723.8900000,721.0000000,722.0000000,762
AKRN,D,20061117,000000,717.8200000,720.0000000,713.5000000,718.9900000,945
AKRN,D,20061120,000000,727.0000000,727.0000000,713.0100000,717.0000000,339
AKRN,D,20061121,000000,716.0100000,717.0000000,714.0000000,715.1100000,492
AKRN,D,20061122,000000,714.0000000,715.5000000,712.0000000,715.5000000,700
AKRN,D,20061123,000000,715.0000000,720.0000000,715.0000000,720.0000000,2268
AKRN,D,20061124,000000,720.0000000,720.0000000,711.5000000,711.5000000,5315
AKRN,D,20061127,000000,712.1000000,718.0000000,710.0000000,711.0000000,1875
AKRN,D,20061128,000000,717.3700000,720.0000000,711.0000000,712.0000000,1389
AKRN,D,20061129,000000,720.0000000,720.0000000,712.0000000,717.0000000,47
AKRN,D,20061130,000000,715.0000000,740.0000000,713.1000000,733.0000000,624
AKRN,D,20061201,000000,725.0000000,732.0000000,725.0000000,732.0000000,1641
AKRN,D,20061204,000000,725.0000000,741.0000000,725.0000000,741.0000000,2334
AKRN,D,20061205,000000,742.0000000,760.0000000,733.0000000,746.0000000,2236
AKRN,D,20061206,000000,760.0000000,765.0000000,744.0000000,760.0000000,2344
AKRN,D,20061207,000000,763.0000000,781.0000000,763.0000000,774.0000000,7452
AKRN,D,20061208,000000,770.3000000,770.3000000,760.0000000,760.0000000,3554
AKRN,D,20061211,000000,772.0000000,773.0000000,742.0000000,765.0000000,801
AKRN,D,20061212,000000,760.0100000,767.0000000,760.0100000,761.1000000,618
AKRN,D,20061213,000000,760.0000000,760.0000000,720.0000000,757.0000000,1430
AKRN,D,20061214,000000,731.5000000,755.0000000,731.0000000,755.0000000,15
AKRN,D,20061215,000000,750.0000000,767.0000000,750.0000000,764.9900000,635
AKRN,D,20061218,000000,765.5100000,765.5100000,745.5000000,750.0000000,822
AKRN,D,20061219,000000,750.0100000,763.0000000,740.0000000,759.0000000,2619
AKRN,D,20061220,000000,760.0000000,769.0000000,750.0000000,759.9900000,1594
AKRN,D,20061221,000000,750.0000000,750.0000000,735.0000000,748.0100000,3006
AKRN,D,20061222,000000,745.0000000,745.0000000,730.0000000,735.0000000,851
