<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
APTK,D,20030206,000000,298.9000000,314.9000000,298.9000000,306.9000000,5001
APTK,D,20030210,000000,314.7500000,314.7500000,314.7500000,314.7500000,2
APTK,D,20030212,000000,313.0000000,391.0000000,313.0000000,391.0000000,2
APTK,D,20030217,000000,296.1300000,298.1200000,296.1200000,298.1200000,502
APTK,D,20030218,000000,309.9900000,311.9900000,309.9900000,309.9900000,25
APTK,D,20030305,000000,295.6400000,295.6400000,295.6400000,295.6400000,1000
APTK,D,20030306,000000,295.6500000,295.6500000,295.6500000,295.6500000,5000
APTK,D,20030317,000000,293.0800000,293.0800000,293.0800000,293.0800000,4500
APTK,D,20030414,000000,288.2500000,288.2500000,288.2500000,288.2500000,1
APTK,D,20030415,000000,288.0000000,288.0000000,285.0000000,285.0000000,2000
APTK,D,20030417,000000,284.0000000,284.0000000,284.0000000,284.0000000,1000
APTK,D,20030422,000000,290.0000000,290.0000000,281.0000000,281.0000000,1500
APTK,D,20030513,000000,288.5000000,288.5000000,288.5000000,288.5000000,1
APTK,D,20030514,000000,288.9000000,288.9000000,288.9000000,288.9000000,1
APTK,D,20030519,000000,279.0000000,287.5000000,279.0000000,287.5000000,13
APTK,D,20030609,000000,283.0000000,283.0000000,283.0000000,283.0000000,100
APTK,D,20030618,000000,296.7000000,296.7000000,296.7000000,296.7000000,1
APTK,D,20030620,000000,296.3000000,296.3000000,296.3000000,296.3000000,100
APTK,D,20030623,000000,295.0000000,295.0000000,295.0000000,295.0000000,988
APTK,D,20050406,000000,0.6500000,0.6600000,0.6500000,0.6600000,2
APTK,D,20060113,000000,0.5000000,100.0000000,0.5000000,100.0000000,4
APTK,D,20060116,000000,116.0000000,116.0000000,116.0000000,116.0000000,3
APTK,D,20060214,000000,999.0000000,1000.0000000,960.0000000,1000.0000000,28
APTK,D,20060215,000000,999.0000000,999.0000000,999.0000000,999.0000000,2
APTK,D,20060216,000000,1000.0000000,1000.0000000,960.0000000,970.0000000,35
APTK,D,20060217,000000,960.0000000,1010.0000000,960.0000000,1010.0000000,14
APTK,D,20060220,000000,1000.0000000,1000.0000000,980.0000000,1000.0000000,22
APTK,D,20060221,000000,970.0000000,1000.0000000,970.0000000,988.0000000,43
APTK,D,20060222,000000,900.0000000,900.0000000,900.0000000,900.0000000,22
APTK,D,20060226,000000,940.0000000,950.0000000,940.0000000,950.0000000,3
APTK,D,20060228,000000,980.0000000,980.0000000,950.0000000,950.0000000,11
APTK,D,20060306,000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,11
APTK,D,20060307,000000,165.0000000,900.0000000,165.0000000,900.0000000,2
APTK,D,20060309,000000,950.0000000,950.0000000,950.0000000,950.0000000,1
APTK,D,20060313,000000,970.0000000,970.0000000,970.0000000,970.0000000,15
APTK,D,20060314,000000,940.0000000,940.0000000,940.0000000,940.0000000,10
APTK,D,20060316,000000,965.0000000,965.0000000,925.0000000,965.0000000,25
APTK,D,20060317,000000,965.0000000,965.0000000,965.0000000,965.0000000,100
APTK,D,20060320,000000,950.0000000,955.0000000,950.0000000,950.0000000,301
APTK,D,20060321,000000,970.0000000,1000.0000000,970.0000000,980.0000000,560
APTK,D,20060322,000000,940.0000000,1000.0000000,900.0000000,990.0000000,333
APTK,D,20060323,000000,1098.0000000,1172.0000000,1050.0000000,1078.0000000,513
APTK,D,20060324,000000,1080.0000000,1100.0000000,1070.0000000,1085.0000000,523
APTK,D,20060327,000000,1150.0000000,1150.0000000,1050.0000000,1059.0000000,563
APTK,D,20060328,000000,1055.0000000,1080.0000000,1010.0000000,1060.0000000,152
APTK,D,20060329,000000,1156.7700000,1156.7700000,1109.9900000,1110.0000000,7
APTK,D,20060330,000000,1100.0000000,1100.0000000,1100.0000000,1100.0000000,7
APTK,D,20060331,000000,1140.0000000,1140.0000000,1140.0000000,1140.0000000,1
APTK,D,20060403,000000,1115.0000000,1120.0000000,1060.0000000,1060.0000000,46
APTK,D,20060405,000000,1159.0000000,1159.0000000,1159.0000000,1159.0000000,1
APTK,D,20060406,000000,1135.0000000,1156.7700000,1135.0000000,1150.0000000,314
APTK,D,20060407,000000,1140.1000000,1150.0000000,1140.0000000,1150.0000000,325
APTK,D,20060410,000000,1150.0000000,1150.0000000,1150.0000000,1150.0000000,1
APTK,D,20060411,000000,1149.0000000,1198.0000000,1149.0000000,1198.0000000,20
APTK,D,20060413,000000,1246.0000000,1400.0000000,1246.0000000,1350.0000000,3362
APTK,D,20060414,000000,1375.0000000,1375.0000000,1320.0000000,1360.0000000,3902
APTK,D,20060417,000000,1330.0000000,1330.0000000,1330.0000000,1330.0000000,800
APTK,D,20060418,000000,1300.0000000,1300.0000000,1300.0000000,1300.0000000,40
APTK,D,20060419,000000,1275.0000000,1350.0000000,1050.0000000,1350.0000000,424
APTK,D,20060420,000000,1374.0000000,1374.0000000,1275.0000000,1275.0000000,4
APTK,D,20060421,000000,1340.0000000,1340.0000000,1340.0000000,1340.0000000,94
APTK,D,20060426,000000,1351.0000000,1351.0000000,1351.0000000,1351.0000000,2
APTK,D,20060427,000000,1440.0000000,1440.0000000,1440.0000000,1440.0000000,3
APTK,D,20060502,000000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,1
APTK,D,20060503,000000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,43
APTK,D,20060505,000000,1800.0000000,1800.0000000,1300.0000000,1360.0000000,77
APTK,D,20060506,000000,1711.0000000,1711.0000000,1350.0000000,1350.0000000,6
APTK,D,20060510,000000,1410.0000000,1410.0000000,1399.0000000,1399.0000000,6
APTK,D,20060511,000000,1375.0000000,1375.0000000,1261.1000000,1350.0000000,94
APTK,D,20060512,000000,1350.0000000,1350.0000000,1350.0000000,1350.0000000,10
APTK,D,20060515,000000,1301.0000000,1301.0000000,1150.0000000,1150.0000000,14
APTK,D,20060516,000000,1175.0000000,1274.0000000,1175.0000000,1274.0000000,8
APTK,D,20060517,000000,1200.0000000,1200.0000000,1101.0100000,1101.0100000,8
APTK,D,20060518,000000,1200.0000000,1399.0000000,1200.0000000,1399.0000000,48
APTK,D,20060523,000000,1300.0000000,1300.0000000,1051.0000000,1300.0000000,105
APTK,D,20060524,000000,1160.0000000,1200.0000000,1150.0000000,1150.0000000,405
APTK,D,20060525,000000,1052.0000000,1080.0000000,1051.0000000,1051.0000000,17
APTK,D,20060526,000000,1150.0000000,1150.0000000,1099.9900000,1100.0000000,302
APTK,D,20060529,000000,1050.0000000,1150.0000000,1050.0000000,1150.0000000,320
APTK,D,20060531,000000,1110.0000000,1110.0000000,1110.0000000,1110.0000000,1
