<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHMK,D,20081231,000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000,10
CHMK,D,20090318,000000,2500.0000000,2500.0000000,2400.0000000,2400.0000000,10
CHMK,D,20090325,000000,2400.0000000,2400.0000000,2400.0000000,2400.0000000,1
CHMK,D,20090326,000000,2350.0000000,2350.0000000,2350.0000000,2350.0000000,150
CHMK,D,20090327,000000,2360.0000000,2400.0000000,2360.0000000,2400.0000000,152
CHMK,D,20090406,000000,2400.0000000,2400.0000000,2280.0000000,2280.0000000,4
CHMK,D,20090413,000000,2390.0000000,2390.0000000,2390.0000000,2390.0000000,3
CHMK,D,20090428,000000,2400.0000000,2600.0000000,2400.0000000,2600.0000000,23
CHMK,D,20090429,000000,2700.0000000,2800.0000000,2700.0000000,2800.0000000,20
CHMK,D,20090506,000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000,1
CHMK,D,20090507,000000,2870.0000000,2870.0000000,2870.0000000,2870.0000000,2
CHMK,D,20090520,000000,2870.0000000,2870.0000000,2870.0000000,2870.0000000,1
CHMK,D,20090521,000000,3500.0000000,3500.0000000,3000.0000000,3000.0000000,2
CHMK,D,20090525,000000,3500.0000000,3500.0000000,3500.0000000,3500.0000000,1
CHMK,D,20090527,000000,3500.0000000,3700.0000000,3500.0000000,3700.0000000,32
CHMK,D,20090528,000000,4000.0000000,5000.0000000,4000.0000000,4222.0000000,123
CHMK,D,20090529,000000,3500.0000000,4175.0000000,3500.0000000,4100.0000000,6
CHMK,D,20090601,000000,3500.0000000,4200.0000000,3000.0000000,4200.0000000,235
CHMK,D,20090603,000000,4200.0000000,5855.0000000,4200.0000000,5200.0000000,259
CHMK,D,20090604,000000,4250.0000000,6990.0000000,4000.0000000,4200.0000000,454
CHMK,D,20090605,000000,4200.0000000,4803.0100000,4000.0000000,4800.0000000,3125
CHMK,D,20090608,000000,4504.0000000,4504.0000000,4500.0000000,4500.0000000,8
CHMK,D,20090609,000000,4100.0200000,4177.9400000,4000.0000000,4150.0000000,177
CHMK,D,20090610,000000,4100.0000000,4200.0000000,3831.0100000,4199.9900000,93
CHMK,D,20090611,000000,3723.0000000,4100.0000000,3723.0000000,4000.0000000,66
CHMK,D,20090615,000000,4000.0000000,4000.0000000,3500.0000000,3998.9900000,153
CHMK,D,20090616,000000,3849.9900000,3900.0000000,3849.9900000,3900.0000000,91
CHMK,D,20090617,000000,3999.9900000,4372.0000000,3900.0000000,3900.0000000,72
CHMK,D,20090618,000000,3525.0000000,3950.0000000,3525.0000000,3950.0000000,9
CHMK,D,20090622,000000,3533.0000000,3535.0000000,3524.0000000,3524.0000000,3
CHMK,D,20090625,000000,3676.9900000,3676.9900000,3675.0000000,3675.0000000,2
CHMK,D,20090703,000000,3800.0000000,3800.0000000,3800.0000000,3800.0000000,1
